Building prefix dict from the default dictionary ...
Dumping model to file cache /tmp/jieba.cache
Loading model cost 0.608 seconds.
Prefix dict has been built successfully.
Using device: cuda
IN: TextClassificationModel_CNN_MHA
Test Loss: 1.8715, Train Loss: 2.1488, Test Emotion Accuracy: 0.8211, Test Feature Accuracy: 0.6927
Test Loss: 1.8216, Train Loss: 2.0873, Test Emotion Accuracy: 0.8247, Test Feature Accuracy: 0.7026
Test Loss: 1.7722, Train Loss: 2.0439, Test Emotion Accuracy: 0.8254, Test Feature Accuracy: 0.7182
Test Loss: 1.7351, Train Loss: 1.9937, Test Emotion Accuracy: 0.8240, Test Feature Accuracy: 0.7402
Test Loss: 1.6853, Train Loss: 1.9608, Test Emotion Accuracy: 0.8290, Test Feature Accuracy: 0.7331
Test Loss: 1.6532, Train Loss: 1.9225, Test Emotion Accuracy: 0.8275, Test Feature Accuracy: 0.7608
Test Loss: 1.6238, Train Loss: 1.8794, Test Emotion Accuracy: 0.8268, Test Feature Accuracy: 0.7679
Test Loss: 1.5797, Train Loss: 1.8332, Test Emotion Accuracy: 0.8318, Test Feature Accuracy: 0.7729
Test Loss: 1.5447, Train Loss: 1.8006, Test Emotion Accuracy: 0.8325, Test Feature Accuracy: 0.7757
Test Loss: 1.5099, Train Loss: 1.7661, Test Emotion Accuracy: 0.8325, Test Feature Accuracy: 0.7771
Test Loss: 1.4878, Train Loss: 1.7292, Test Emotion Accuracy: 0.8297, Test Feature Accuracy: 0.7793
Test Loss: 1.4566, Train Loss: 1.6824, Test Emotion Accuracy: 0.8332, Test Feature Accuracy: 0.7757
Test Loss: 1.4321, Train Loss: 1.6496, Test Emotion Accuracy: 0.8325, Test Feature Accuracy: 0.7779
Test Loss: 1.4128, Train Loss: 1.6437, Test Emotion Accuracy: 0.8311, Test Feature Accuracy: 0.7786
Test Loss: 1.4057, Train Loss: 1.6282, Test Emotion Accuracy: 0.8275, Test Feature Accuracy: 0.7793
Test Loss: 1.3745, Train Loss: 1.6149, Test Emotion Accuracy: 0.8325, Test Feature Accuracy: 0.7800
Test Loss: 1.3549, Train Loss: 1.5447, Test Emotion Accuracy: 0.8346, Test Feature Accuracy: 0.7821
Test Loss: 1.3395, Train Loss: 1.5354, Test Emotion Accuracy: 0.8353, Test Feature Accuracy: 0.7821
Test Loss: 1.3245, Train Loss: 1.5304, Test Emotion Accuracy: 0.8339, Test Feature Accuracy: 0.7828
Test Loss: 1.3101, Train Loss: 1.5016, Test Emotion Accuracy: 0.8346, Test Feature Accuracy: 0.7864
Test Loss: 1.2945, Train Loss: 1.4865, Test Emotion Accuracy: 0.8353, Test Feature Accuracy: 0.7814
Test Loss: 1.2856, Train Loss: 1.4641, Test Emotion Accuracy: 0.8361, Test Feature Accuracy: 0.7864
Test Loss: 1.2812, Train Loss: 1.4446, Test Emotion Accuracy: 0.8368, Test Feature Accuracy: 0.7842
Test Loss: 1.2802, Train Loss: 1.4127, Test Emotion Accuracy: 0.8375, Test Feature Accuracy: 0.7928
Test Loss: 1.2635, Train Loss: 1.4218, Test Emotion Accuracy: 0.8353, Test Feature Accuracy: 0.7857
Test Loss: 1.2563, Train Loss: 1.3853, Test Emotion Accuracy: 0.8396, Test Feature Accuracy: 0.7906
Test Loss: 1.2330, Train Loss: 1.3833, Test Emotion Accuracy: 0.8396, Test Feature Accuracy: 0.7942
Test Loss: 1.2280, Train Loss: 1.3745, Test Emotion Accuracy: 0.8396, Test Feature Accuracy: 0.7991
Test Loss: 1.2185, Train Loss: 1.3555, Test Emotion Accuracy: 0.8382, Test Feature Accuracy: 0.7991
IN: TextClassificationModel_BiLSTM_MHA
Test Loss: 3.9264, Train Loss: 4.3928, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.8289, Train Loss: 3.9937, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1065
Test Loss: 3.7979, Train Loss: 3.9226, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7901, Train Loss: 3.9144, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1086
Test Loss: 3.7626, Train Loss: 3.8803, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7474, Train Loss: 3.7889, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.2377, Train Loss: 3.5023, Test Emotion Accuracy: 0.6806, Test Feature Accuracy: 0.1810
Test Loss: 3.0302, Train Loss: 3.1555, Test Emotion Accuracy: 0.7445, Test Feature Accuracy: 0.2044
Test Loss: 2.8703, Train Loss: 3.0004, Test Emotion Accuracy: 0.7857, Test Feature Accuracy: 0.2505
Test Loss: 2.5369, Train Loss: 2.7498, Test Emotion Accuracy: 0.8219, Test Feature Accuracy: 0.3634
Test Loss: 2.4005, Train Loss: 2.5357, Test Emotion Accuracy: 0.8119, Test Feature Accuracy: 0.3804
Test Loss: 2.2291, Train Loss: 2.3207, Test Emotion Accuracy: 0.7991, Test Feature Accuracy: 0.3918
Test Loss: 2.1134, Train Loss: 2.2269, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.4010
Test Loss: 2.0323, Train Loss: 2.1081, Test Emotion Accuracy: 0.7899, Test Feature Accuracy: 0.4329
Test Loss: 1.9619, Train Loss: 2.0334, Test Emotion Accuracy: 0.7991, Test Feature Accuracy: 0.4720
Test Loss: 1.8651, Train Loss: 1.9526, Test Emotion Accuracy: 0.8091, Test Feature Accuracy: 0.5131
Test Loss: 1.8445, Train Loss: 1.9040, Test Emotion Accuracy: 0.8006, Test Feature Accuracy: 0.5366
Test Loss: 1.8084, Train Loss: 1.8456, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.5224
Test Loss: 1.7544, Train Loss: 1.7927, Test Emotion Accuracy: 0.8006, Test Feature Accuracy: 0.5486
Test Loss: 1.7472, Train Loss: 1.7815, Test Emotion Accuracy: 0.7999, Test Feature Accuracy: 0.5465
Test Loss: 1.7227, Train Loss: 1.7018, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.5749
Test Loss: 1.6571, Train Loss: 1.6757, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.5735
Test Loss: 1.6744, Train Loss: 1.6459, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.5827
Test Loss: 1.6003, Train Loss: 1.6437, Test Emotion Accuracy: 0.8034, Test Feature Accuracy: 0.6210
Test Loss: 1.5614, Train Loss: 1.5664, Test Emotion Accuracy: 0.7885, Test Feature Accuracy: 0.6345
Test Loss: 1.5571, Train Loss: 1.5180, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.6395
Test Loss: 1.5314, Train Loss: 1.5714, Test Emotion Accuracy: 0.8027, Test Feature Accuracy: 0.6224
Test Loss: 1.5334, Train Loss: 1.4939, Test Emotion Accuracy: 0.7857, Test Feature Accuracy: 0.6224
Test Loss: 1.4856, Train Loss: 1.4585, Test Emotion Accuracy: 0.8034, Test Feature Accuracy: 0.6473
Test Loss: 1.4602, Train Loss: 1.4601, Test Emotion Accuracy: 0.8041, Test Feature Accuracy: 0.6906
Test Loss: 1.4661, Train Loss: 1.4132, Test Emotion Accuracy: 0.8006, Test Feature Accuracy: 0.6906
Test Loss: 1.4743, Train Loss: 1.4039, Test Emotion Accuracy: 0.8041, Test Feature Accuracy: 0.6622
Test Loss: 1.3826, Train Loss: 1.3661, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.6955
Test Loss: 1.4353, Train Loss: 1.3699, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.6877
Test Loss: 1.3718, Train Loss: 1.3301, Test Emotion Accuracy: 0.7835, Test Feature Accuracy: 0.7076
Test Loss: 1.3213, Train Loss: 1.3298, Test Emotion Accuracy: 0.8091, Test Feature Accuracy: 0.7104
Test Loss: 1.3380, Train Loss: 1.3232, Test Emotion Accuracy: 0.8041, Test Feature Accuracy: 0.7012
Test Loss: 1.3632, Train Loss: 1.2843, Test Emotion Accuracy: 0.8091, Test Feature Accuracy: 0.6991
Test Loss: 1.3190, Train Loss: 1.2916, Test Emotion Accuracy: 0.8048, Test Feature Accuracy: 0.7282
Test Loss: 1.3019, Train Loss: 1.2805, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.7218
Test Loss: 1.2884, Train Loss: 1.2336, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.7076
Test Loss: 1.2701, Train Loss: 1.2272, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.7189
Test Loss: 1.2366, Train Loss: 1.2072, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.7346
Test Loss: 1.2391, Train Loss: 1.1913, Test Emotion Accuracy: 0.8062, Test Feature Accuracy: 0.7402
Test Loss: 1.2264, Train Loss: 1.1721, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.7239
Test Loss: 1.2108, Train Loss: 1.1740, Test Emotion Accuracy: 0.8091, Test Feature Accuracy: 0.7402
Test Loss: 1.2185, Train Loss: 1.1842, Test Emotion Accuracy: 0.7793, Test Feature Accuracy: 0.7275
Test Loss: 1.2061, Train Loss: 1.1674, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.7331
Test Loss: 1.1899, Train Loss: 1.1432, Test Emotion Accuracy: 0.8070, Test Feature Accuracy: 0.7367
Test Loss: 1.2370, Train Loss: 1.1433, Test Emotion Accuracy: 0.8062, Test Feature Accuracy: 0.7268
IN: TextClassificationModel_GRU_MHA
Test Loss: 3.9194, Train Loss: 4.4221, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.8218, Train Loss: 3.9896, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.8410, Train Loss: 3.9444, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7956, Train Loss: 3.9039, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7774, Train Loss: 3.8829, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.7142, Train Loss: 3.8493, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.6686, Train Loss: 3.7217, Test Emotion Accuracy: 0.6657, Test Feature Accuracy: 0.1143
Test Loss: 3.5775, Train Loss: 3.5764, Test Emotion Accuracy: 0.6764, Test Feature Accuracy: 0.1746
Test Loss: 3.3950, Train Loss: 3.3748, Test Emotion Accuracy: 0.7587, Test Feature Accuracy: 0.1796
Test Loss: 3.3404, Train Loss: 3.2367, Test Emotion Accuracy: 0.7850, Test Feature Accuracy: 0.1909
Test Loss: 3.3236, Train Loss: 3.1694, Test Emotion Accuracy: 0.7786, Test Feature Accuracy: 0.1923
Test Loss: 3.2988, Train Loss: 3.0783, Test Emotion Accuracy: 0.7807, Test Feature Accuracy: 0.2150
Test Loss: 3.2823, Train Loss: 3.0189, Test Emotion Accuracy: 0.7913, Test Feature Accuracy: 0.2051
Test Loss: 3.2536, Train Loss: 2.9686, Test Emotion Accuracy: 0.7942, Test Feature Accuracy: 0.2257
Test Loss: 3.1656, Train Loss: 2.9383, Test Emotion Accuracy: 0.7970, Test Feature Accuracy: 0.2292
Test Loss: 3.1030, Train Loss: 2.8697, Test Emotion Accuracy: 0.7942, Test Feature Accuracy: 0.2271
Test Loss: 3.0471, Train Loss: 2.8092, Test Emotion Accuracy: 0.8041, Test Feature Accuracy: 0.2328
Test Loss: 2.9973, Train Loss: 2.7289, Test Emotion Accuracy: 0.8148, Test Feature Accuracy: 0.2378
Test Loss: 2.9485, Train Loss: 2.6642, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.2605
Test Loss: 2.7997, Train Loss: 2.5745, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.2825
Test Loss: 2.7365, Train Loss: 2.5104, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.3144
Test Loss: 2.6165, Train Loss: 2.4816, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.3456
Test Loss: 2.5426, Train Loss: 2.3920, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.3534
Test Loss: 2.4952, Train Loss: 2.3227, Test Emotion Accuracy: 0.8119, Test Feature Accuracy: 0.3712
Test Loss: 2.4559, Train Loss: 2.2649, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.3712
Test Loss: 2.3682, Train Loss: 2.2326, Test Emotion Accuracy: 0.8141, Test Feature Accuracy: 0.4159
Test Loss: 2.3444, Train Loss: 2.1221, Test Emotion Accuracy: 0.8055, Test Feature Accuracy: 0.4116
